City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,AQI,AQI_Bucket
Hyderabad,03/11/2015,56.93,97.74,3.6,1.18,2.04,11.93,0.96,10.7,29.23,1.35,7.32,120,Moderate
Hyderabad,04/11/2015,40.67,90.56,5.24,1.72,2.45,11.75,0.99,13.4,32.02,1.2,6.72,130,Moderate
Hyderabad,05/11/2015,50.03,90.53,3.44,4.47,6.21,12.04,0.96,8.04,36.49,1.16,6.74,103,Moderate
Hyderabad,06/11/2015,89.59,107.82,7.89,14.73,20.85,12.06,1.53,10.99,36.11,1.44,8.75,179,Moderate
Hyderabad,07/11/2015,86.87,105.81,8.71,14.84,21.55,11.96,0.93,11.36,32.53,1.47,11.41,206,Poor
Hyderabad,08/11/2015,51.21,101.07,5.46,10.48,15.16,12.03,1.24,8.8,47.35,1.11,5.54,145,Moderate
Hyderabad,09/11/2015,53.87,118.33,7.18,15.98,21.66,11.98,0.59,8.37,40.12,1.08,6.41,114,Moderate
Hyderabad,10/11/2015,67.45,114.47,9.39,18.54,26.53,11.93,0.55,11.9,32.42,1.33,8,129,Moderate
Hyderabad,11/11/2015,85.48,115.5,11.75,17,24.91,11.96,0.78,13.68,38.48,0.75,5.2,135,Moderate
Hyderabad,12/11/2015,88.14,106.33,11.57,19.56,29.93,11.91,0.61,12.92,34.67,1.31,6.17,275,Poor
Hyderabad,13/11/2015,72.77,111.94,8.77,15.59,22.61,11.7,0.61,13.17,29.49,1.88,10.04,157,Moderate
Hyderabad,14/11/2015,61.82,99.33,11.49,15.61,24.35,9.85,1.19,13.89,33.99,1.82,13.68,131,Moderate
Hyderabad,15/11/2015,70.51,100.62,17.12,16.18,28.61,2.5,1.2,11.67,33.14,1.96,12.9,144,Moderate
Hyderabad,16/11/2015,69.02,98.3,7.66,10.53,14.07,3.52,1.06,12.49,32.91,1.36,6.87,130,Moderate
Hyderabad,17/11/2015,44.27,107.15,9.28,6.38,12.52,6.01,0.81,9.57,31.61,0.89,5.89,128,Moderate
Hyderabad,18/11/2015,46.31,92.72,8.21,6.58,11.61,5.94,0.84,9.58,30.33,0.97,5.09,102,Moderate
Hyderabad,19/11/2015,37.76,102.3,7.23,5.1,9.17,5.96,0.89,9.16,38.1,0.88,3.83,110,Moderate
Hyderabad,20/11/2015,30.44,74.28,7.51,6.96,11.27,5.97,0.94,8.51,21.91,0.99,5.15,86,Satisfactory
Hyderabad,21/11/2015,38.88,106.93,6.34,9.18,13.07,6.83,0.93,8.8,33.12,1.04,5.01,92,Satisfactory
Hyderabad,22/11/2015,70.96,104.88,7.28,7.21,12.71,10.08,1.25,9.36,43.03,1.42,5.74,121,Moderate
Hyderabad,23/11/2015,46.04,98.22,3.95,7.92,9.81,9.44,0.76,6.44,40.99,1.24,4.41,97,Satisfactory
Hyderabad,24/11/2015,40.59,94.94,4.84,10.51,13.63,8.95,0.92,9.44,36.46,1.2,5.98,102,Moderate
Hyderabad,25/11/2015,69.37,112.36,8.69,15.65,22.64,8.87,1.1,8.3,26.89,1.51,7.33,119,Moderate
Hyderabad,26/11/2015,91.06,108.82,15.49,21,34.72,8.95,1.4,11.16,25.38,1.86,8.97,199,Moderate
Hyderabad,27/11/2015,83.12,115.67,7.2,16.36,21.79,8.93,1.1,9.12,33.04,1.58,6.92,172,Moderate
Hyderabad,28/11/2015,81.22,110.9,4.52,11.75,14.87,8.6,1.01,9.53,39.42,1.26,6.04,172,Moderate
Hyderabad,29/11/2015,67.13,109.51,4.52,9.39,12.25,8.95,0.97,8.22,46.11,1.28,4.77,164,Moderate
Hyderabad,30/11/2015,45.49,106.29,4.86,8.74,11.95,8.93,0.92,8.03,31.7,1.15,5.14,119,Moderate
Hyderabad,01/12/2015,38.24,102.51,5.31,10.07,13.74,8.94,0.93,9.1,28.27,1.1,5.45,101,Moderate
Hyderabad,02/12/2015,29.53,80.84,5.28,10.13,13.79,9.32,0.87,7.72,21.04,1.26,4.59,95,Satisfactory
Hyderabad,03/12/2015,45.97,98.69,6.86,17.38,23.23,10.45,0.85,7.09,28.81,0.91,4.24,99,Satisfactory
Hyderabad,04/12/2015,57.22,103.72,5.61,19.75,24.69,9.3,1.28,9.04,31.38,1.14,8.69,120,Moderate
Hyderabad,05/12/2015,61.11,109.53,7.38,16.02,21.96,10.39,1.04,9.25,24,1.37,6.67,127,Moderate
Hyderabad,07/12/2015,79.25,105.66,8.72,22.09,29.96,10.53,1.17,8.71,24.41,1.22,7.57,160,Moderate
Hyderabad,08/12/2015,72.74,104.94,8.25,17.02,23.62,10.43,1.14,10.42,28.54,1.67,9.31,147,Moderate
Hyderabad,09/12/2015,60.2,104.11,7.51,16.7,22.55,10.35,1.12,7.05,29.88,1.57,7.05,137,Moderate
Hyderabad,10/12/2015,49.53,117.53,6.44,16.6,21.53,10.5,1.11,7.85,29.88,1.46,6.76,120,Moderate
Hyderabad,11/12/2015,24.85,64.47,8.58,12.14,19.29,10.5,0.91,8.54,20.59,0.84,5.26,101,Moderate
Hyderabad,12/12/2015,42.92,87.86,10.1,13.9,22.57,10.48,1.18,7.02,24.96,1.47,7.26,111,Moderate
Hyderabad,13/12/2015,57.34,93.23,5.24,9.76,13.55,10.46,0.86,8.74,31.37,1.35,7.01,124,Moderate
Hyderabad,14/12/2015,30.53,95.47,5.52,10.89,14.9,10.43,0.81,8.78,31.66,1.06,5.46,102,Moderate
Hyderabad,15/12/2015,30.54,98.14,5.82,14.83,19.18,10.53,0.89,8.37,32.98,1.22,6.36,100,Satisfactory
Hyderabad,16/12/2015,33.68,85.59,6.62,12.81,18.01,10.54,0.85,7.29,30.43,1.26,5.91,101,Moderate
Hyderabad,17/12/2015,33.48,81.25,6.92,12.47,17.9,10.55,0.8,9.02,28.24,1.22,5.43,92,Satisfactory
Hyderabad,18/12/2015,36.17,75.84,6.98,12.44,17.93,10.46,0.94,8.45,27.24,1.15,6.11,98,Satisfactory
Hyderabad,19/12/2015,38.31,103.29,7.85,13.32,19.67,10.41,1.03,7.17,22.6,1.31,9.67,101,Moderate
Hyderabad,20/12/2015,45.87,98.28,5.3,8.87,12.6,10.49,0.88,7.81,27.92,1.33,7.7,104,Moderate
Hyderabad,21/12/2015,30.24,82.51,3.8,11.64,14.11,10.49,0.6,9.7,28.87,0.82,5.77,93,Satisfactory
Hyderabad,22/12/2015,59.23,84.19,6.68,13.39,18.49,10.38,0.92,7.79,31.1,1.13,6.38,102,Moderate
Hyderabad,23/12/2015,38.41,83.4,6.6,12.88,18.03,10.42,0.8,6.71,30.15,1.1,5.35,115,Moderate
Hyderabad,24/12/2015,60.86,108.11,6.06,11.42,15.98,10.42,0.99,8.48,52.28,1.27,7.24,113,Moderate
Hyderabad,25/12/2015,74.08,94,4.72,8.91,12.19,10.42,0.91,11.36,72.53,1.26,5.22,142,Moderate
Hyderabad,26/12/2015,79.9,99.88,4.84,12.23,15.52,10.35,1.26,14.13,83.35,1.6,7.69,174,Moderate
Hyderabad,27/12/2015,79.52,97.83,5.14,14.89,18.53,10.38,1.26,17.09,61.51,1.78,7.98,176,Moderate
Hyderabad,28/12/2015,65.91,99.88,7.62,21.23,27.43,10.43,1.57,9.83,30.85,1.83,9.55,148,Moderate
Hyderabad,29/12/2015,68.43,98.43,24.6,27.59,50.51,10.35,1.52,12.64,23.09,2.65,16.45,147,Moderate
Hyderabad,30/12/2015,83.76,102.69,38.06,29.6,52.78,10.51,1.71,13.79,22.94,2.57,16,171,Moderate
Hyderabad,31/12/2015,177.62,98.01,28.46,25.5,52.22,10.46,1.73,14.74,25.9,2.33,13.33,213,Poor
Hyderabad,01/01/2016,232.83,108.2,11.17,17.35,26.85,10.58,1.45,8.56,27.64,1.79,9.91,387,'Very Poor'
Hyderabad,02/01/2016,71.44,111.72,8.97,16.6,23.98,10.46,1.15,8.39,38.01,1.48,8.14,211,Poor
Hyderabad,03/01/2016,66.92,105.15,10.65,15.35,24.45,10.35,1.23,7.77,35.08,1.86,9.56,145,Moderate
Hyderabad,04/01/2016,134.61,109.29,9.99,15.94,24.34,10.52,1.27,9.82,34.33,1.86,9.33,177,Moderate
Hyderabad,05/01/2016,80.83,113.23,9.04,16.65,24.06,10.55,1.21,8.87,34.37,1.57,9.39,218,Poor
Hyderabad,06/01/2016,109.82,105.67,15.06,19.71,33.18,10.53,1.33,8.84,35.03,1.56,8.24,205,Poor
Hyderabad,07/01/2016,66.19,102.61,5.71,13.35,17.48,10.52,0.93,7.82,42.99,1.16,7.22,195,Moderate
Hyderabad,08/01/2016,69.27,100.47,9.06,18.17,25.57,10.43,1.14,7.82,47.4,1.35,6.72,145,Moderate
Hyderabad,09/01/2016,97.2,108.77,21.79,20.69,40.86,10.47,1.26,8.82,46.2,1.47,7.94,228,Poor
Hyderabad,10/01/2016,72.09,101.26,17.44,19.99,35.77,10.44,1.17,8.85,62.68,1.48,8.37,200,Moderate
Hyderabad,11/01/2016,71.44,107.05,13.04,19.87,31.26,10.47,1.21,8.01,51.86,1.42,7.31,159,Moderate
Hyderabad,12/01/2016,129.67,103.49,18.62,22.42,39.3,10.33,1.39,7.62,49.16,1.79,10.55,219,Poor
Hyderabad,13/01/2016,103.44,99.88,21.74,21.93,42.02,10.43,1.22,10.39,53.34,1.48,10.55,257,Poor
Hyderabad,14/01/2016,60.76,98.54,6.32,13.38,17.95,10.44,0.91,7.1,69.54,1.11,5.88,216,Poor
Hyderabad,15/01/2016,56.01,104.73,5.12,7.15,10.77,10.4,0.73,7.28,68.31,0.55,2.62,155,Moderate
Hyderabad,16/01/2016,58.57,93.52,5.16,9.91,13.47,10.42,0.93,7.02,74.69,0.37,2.46,148,Moderate
Hyderabad,17/01/2016,54.12,99.69,5.16,8.61,12.3,10.39,1.05,8.47,74.38,0.48,3.07,161,Moderate
Hyderabad,18/01/2016,43.05,82.25,5.78,9.64,13.97,10.41,0.78,6.51,74.51,0.41,2.66,171,Moderate
Hyderabad,19/01/2016,50.38,79.94,5.56,9.39,13.46,10.42,0.74,7.33,39.71,0.53,3.07,152,Moderate
Hyderabad,20/01/2016,75.11,102.17,6.03,12.5,17.01,10.51,1.02,8.71,19.6,1.1,5.52,128,Moderate
Hyderabad,21/01/2016,62.65,114.92,5.01,10.2,13.7,10.39,0.78,10.16,37.85,0.35,3.56,147,Moderate
Hyderabad,22/01/2016,51.14,103.09,5.2,10,13.76,10.42,0.92,13.55,50.35,0.4,3.69,117,Moderate
Hyderabad,23/01/2016,66.16,97.42,5.23,13.23,17.06,10.5,0.99,8.42,48.7,0.48,3.42,118,Moderate
Hyderabad,24/01/2016,73.91,105.01,5.09,10.36,14.06,10.59,0.89,7.65,44.51,0.55,3.64,149,Moderate
Hyderabad,25/01/2016,69.02,103.83,7.99,6.65,12.84,10.58,1.25,9.03,42.29,0.56,3.21,148,Moderate
Hyderabad,04/02/2016,103.27,95.5,4.76,8.26,10.52,10.57,1.25,12,5.79,0.52,4.65,108,Moderate
Hyderabad,05/02/2016,68.56,107.67,6.71,13.49,18.84,10.61,0.98,9.9,35.46,0.53,4.01,174,Moderate
Hyderabad,06/02/2016,61.7,102.86,5.41,10.58,14.63,10.57,1.12,6.51,45.37,0.44,3.13,137,Moderate
Hyderabad,07/02/2016,61.74,101.15,5.38,8.97,12.97,10.28,0.92,3.82,45.44,0.44,2.67,121,Moderate
Hyderabad,08/02/2016,69.72,108.26,5.46,10.01,14.1,10.42,0.86,3.99,37.8,0.44,2.87,134,Moderate
Hyderabad,09/02/2016,72.39,106.72,5.41,11.19,15.2,10.38,1.02,4.32,40.99,0.43,3.15,149,Moderate
Hyderabad,10/02/2016,62,99.08,5.91,12.15,16.68,10.28,0.92,4.73,46.72,0.45,6.47,137,Moderate
Hyderabad,11/02/2016,66.95,109.31,5.29,10.13,14.05,10.45,0.92,6.21,51.08,0.44,6.43,124,Moderate
Hyderabad,12/02/2016,61.41,96.56,5.45,10.43,14.54,10.28,0.68,4.48,49.34,0.37,4.66,122,Moderate
Hyderabad,13/02/2016,62.77,102.95,4.93,10.25,13.87,10.39,0.89,4.77,50.96,0.54,4.25,120,Moderate
Hyderabad,14/02/2016,58.29,100.33,5.07,7.93,11.66,10.3,0.94,5.61,38.25,1.12,5.71,120,Moderate
Hyderabad,15/02/2016,56.27,98.59,5.52,9.52,13.7,10.28,0.67,5.45,33.34,0.9,3.95,116,Moderate
Hyderabad,16/02/2016,37.03,72.15,7.35,9.96,16.16,9.8,1.1,5.59,24.56,0.46,2.92,123,Moderate
Hyderabad,17/02/2016,47.56,121.88,5.96,12.95,17.52,10.49,0.93,5.36,35.93,0.2,1.82,95,Satisfactory
Hyderabad,18/02/2016,45.02,107.06,5.77,11.18,15.59,10.47,0.99,5.38,28.3,0.19,2.17,102,Moderate
Hyderabad,19/02/2016,44.95,91.3,8.82,12.82,20.32,10.57,1.06,4.95,25.76,0.92,5.59,100,Satisfactory
Hyderabad,20/02/2016,173.37,113.67,10.62,17.14,26.33,10.49,1.22,6.56,31.91,1.46,8.86,134,Moderate
Hyderabad,21/02/2016,525.09,94,16.96,19.14,34.7,10.53,1.57,8.75,37.36,2.16,13.13,442,Severe
Hyderabad,22/02/2016,353.58,95.54,8.53,16.83,23.94,10.47,1.17,9.43,38.86,1.4,9.8,510,Severe
Hyderabad,23/02/2016,65.95,107.3,3.32,10.53,12.46,10.46,0.82,7.15,43.44,1.08,5.04,235,Poor
Hyderabad,24/02/2016,50.22,95.03,5.37,9.25,13.29,10.42,0.79,7.02,41.45,0.75,4.14,115,Moderate
Hyderabad,25/02/2016,53.47,101.93,5.49,10.41,14.59,10.48,0.9,5.88,43.55,0.82,4.75,113,Moderate
Hyderabad,26/02/2016,48.65,96.82,5.28,7.94,11.87,10.4,0.89,6.79,26.1,0.84,9.74,109,Moderate
Hyderabad,27/02/2016,29.42,80.62,5.32,8.1,12.09,10.31,0.87,6.07,24.43,0.75,3.83,100,Satisfactory
Hyderabad,28/02/2016,36.27,91.18,5.66,9.6,13.87,10.32,0.79,5.97,22.35,0.9,4.51,99,Satisfactory
Hyderabad,29/02/2016,33.01,93.99,5.84,9.41,13.91,10.39,0.92,5.34,27.62,0.79,4.42,98,Satisfactory
Hyderabad,01/03/2016,38.91,86.74,5.26,8.86,12.81,10.29,0.88,5.35,33.92,0.81,3.43,102,Moderate
Hyderabad,02/03/2016,48.34,98.72,5.38,10.22,14.24,10.26,1.08,5.22,39.26,0.98,5.35,106,Moderate
Hyderabad,03/03/2016,50.06,88.76,5.58,12.11,16.27,10.21,1,7.78,45.55,0.95,5.37,110,Moderate
Hyderabad,04/03/2016,63.29,99.76,5.44,12.41,16.46,10.27,1.08,5.8,44.08,1.02,5.7,117,Moderate
Hyderabad,05/03/2016,65.76,105.71,5.35,12.36,16.33,10.37,1.1,6.89,47.03,0.93,5.53,129,Moderate
Hyderabad,06/03/2016,43.36,96.52,5.14,10.03,13.7,10.16,0.87,5.59,40.23,0.81,3.71,118,Moderate
Hyderabad,07/03/2016,38.93,85.11,5.41,8.1,12.18,10.3,0.77,5.48,40.82,0.74,3.34,100,Satisfactory
Hyderabad,08/03/2016,41.44,75.47,5.62,9.64,13.89,10.33,0.75,5.85,38.46,0.71,3.85,98,Satisfactory
Hyderabad,09/03/2016,50.81,86.52,7.07,13.18,18.89,10.29,1.33,9.26,41.84,0.92,4.24,118,Moderate
Hyderabad,10/03/2016,60.66,98.21,8.12,15.99,22.67,10.27,1.14,5.09,32.62,1.3,6.92,121,Moderate
Hyderabad,11/03/2016,63.93,96.69,8.2,16.48,23.29,10.31,1.11,6.07,36.32,1.17,7.49,117,Moderate
Hyderabad,12/03/2016,63.41,109.62,6.11,13.84,18.54,10.33,0.96,6.19,38.78,1.19,5.73,135,Moderate
Hyderabad,13/03/2016,57.96,98.74,5.5,8.84,12.98,10.27,0.82,6.35,47.36,0.67,3.83,121,Moderate
Hyderabad,14/03/2016,63.41,96.78,5.24,8.98,12.78,10.26,0.86,6.13,46.51,0.8,4.04,126,Moderate
Hyderabad,15/03/2016,48.22,87.46,5.67,8.51,12.81,10.29,0.85,4.96,25.95,0.73,3.83,109,Moderate
Hyderabad,16/03/2016,49.29,83.28,5.47,13.73,18.23,10.11,0.83,5.05,30.63,0.64,3.29,106,Moderate
Hyderabad,19/03/2016,52.53,91.79,4.46,2.57,4.54,9.14,1.01,4.48,45.44,1.19,5.25,95,Satisfactory
Hyderabad,20/03/2016,65.12,98.55,5.36,2.69,5.31,10.32,1.37,6.6,36.69,2.36,12.1,111,Moderate
Hyderabad,21/03/2016,56.19,105.42,5.62,3,5.66,10.22,1.66,9.28,28.03,2.99,15.19,112,Moderate
Hyderabad,22/03/2016,56.72,103.22,5.51,3.09,5.83,10.4,1.53,12.25,45.66,3.02,21.34,121,Moderate
Hyderabad,23/03/2016,77.4,101.33,10.15,14.08,22.41,10.39,1.68,10.62,42.17,2.3,12.17,123,Moderate
Hyderabad,24/03/2016,73.6,105.96,5.26,10.41,14.27,10.31,0.85,5.67,53.31,0.93,5.12,160,Moderate
Hyderabad,25/03/2016,73.9,104.01,5.61,11.53,15.68,10.34,1.01,6.29,52.35,0.9,5.75,151,Moderate
Hyderabad,26/03/2016,61.09,106.24,5.46,11.4,15.49,10.35,0.91,4.08,49.85,0.93,4.36,134,Moderate
Hyderabad,27/03/2016,69.37,108.55,5.36,9.86,13.88,10.29,1,3.7,62.11,0.87,3.77,141,Moderate
Hyderabad,28/03/2016,64.25,111.27,5.24,9.19,13.03,10.31,1.18,4.33,55.42,0.72,3.6,138,Moderate
Hyderabad,29/03/2016,58.28,101.14,5.44,11.1,15.26,10.12,1.12,3.25,50.93,0.86,3.61,123,Moderate
Hyderabad,30/03/2016,55.96,95.45,5.7,11.15,15.47,10.16,1.13,3.89,46.22,0.89,4.24,125,Moderate
Hyderabad,31/03/2016,43.84,89.56,3.5,10.39,12.31,10.31,0.66,4.58,42.02,0.69,3.52,92,Satisfactory
Hyderabad,01/04/2016,57.97,99.89,4.06,11.52,13.91,10.47,0.9,6.58,47.76,1.08,7.15,103,Moderate
Hyderabad,04/04/2016,53.75,104.14,8.83,24.81,28.55,28.56,1.21,4.43,50.46,0.84,3.62,146,Moderate
Hyderabad,05/04/2016,52.91,116.28,4.51,34.56,23.81,26.16,0.86,5.58,47.1,0.99,5.3,103,Moderate
Hyderabad,06/04/2016,50.6,114.32,9.27,33.59,30.45,22.29,1.5,4.5,43.43,0.73,4.34,117,Moderate
Hyderabad,07/04/2016,42.22,96.54,3.83,31.94,23.71,22.34,0.96,5.25,45.28,0.76,4.1,120,Moderate
Hyderabad,08/04/2016,31.46,84.57,5.28,35.11,23.23,20.01,0.8,4.88,47.55,0.91,4.38,88,Satisfactory
Hyderabad,09/04/2016,31.88,70,7.2,32.42,21.16,19.59,0.87,4.28,35.94,0.89,3.84,77,Satisfactory
Hyderabad,10/04/2016,28.04,75.69,6.76,34.6,21.91,17.59,0.82,6.37,40.03,0.88,5.14,79,Satisfactory
Hyderabad,11/04/2016,46.8,100.44,7.67,34.5,28.29,18.48,1.24,3.38,44.25,0.83,4.09,99,Satisfactory
Hyderabad,12/04/2016,48.99,87.94,12.85,34.56,37.07,19.29,1.61,10.06,41,0.69,4.45,117,Moderate
Hyderabad,13/04/2016,55.96,98.92,12.5,31.16,32.34,22.54,1.24,6.89,40.31,0.84,5.48,116,Moderate
Hyderabad,14/04/2016,66.47,109.42,11.84,37,35.18,25.98,1.2,10.04,42.49,1.35,5.99,131,Moderate
Hyderabad,15/04/2016,54.58,102.11,4.9,23.02,19.15,23.21,0.83,4.06,50.46,0.92,3.77,121,Moderate
Hyderabad,16/04/2016,70.92,96.84,4.74,21.28,18.48,21.43,1.05,3.85,48.14,0.57,2.94,125,Moderate
Hyderabad,17/04/2016,63.68,95.59,4.81,20.25,17.83,21.25,0.97,5.27,40.9,0.64,3.28,151,Moderate
Hyderabad,18/04/2016,51.86,108.24,4.68,28.92,23.65,22.27,1.2,4.67,27.96,0.99,4.38,139,Moderate
Hyderabad,19/04/2016,37.66,78.68,7.38,27.73,24.53,20.13,1.1,7.1,26.39,0.64,4.01,107,Moderate
Hyderabad,20/04/2016,45,93.9,8.98,33.13,29.96,22.38,1.02,7.21,29.12,0.68,3.69,105,Moderate
Hyderabad,21/04/2016,48.65,87.02,4.58,33.5,24.68,23.69,1.3,5.98,36.99,0.9,4.98,120,Moderate
Hyderabad,22/04/2016,41.99,103.25,11.78,41,28.75,22.04,1.06,6.03,40.99,1.16,6.37,100,Satisfactory
Hyderabad,23/04/2016,26,93.08,4.34,21.79,13.84,18.78,0.6,8.13,58.17,0.6,3.36,101,Moderate
Hyderabad,26/04/2016,56.86,109,8.33,44.83,30.9,34.24,0.17,9.29,39.46,0.77,3.64,102,Moderate
Hyderabad,27/04/2016,52.96,108.3,10.35,34.44,30.89,38.48,0.9,7.58,24.33,0.53,3.21,129,Moderate
Hyderabad,28/04/2016,44.3,89.26,11.41,34.53,32.21,31.97,0.51,8.18,34.32,0.44,2.87,110,Moderate
Hyderabad,29/04/2016,40.1,85.11,8.83,32.79,28.28,33.59,0.48,6.71,31.34,0.44,3.01,99,Satisfactory
Hyderabad,30/04/2016,33.33,76.71,8.73,31.35,28.66,33.19,0.47,7.87,47.78,0.36,2.41,100,Satisfactory
Hyderabad,01/05/2016,46.08,107.77,9.55,31.1,28.46,29.73,0.49,6.57,40.05,0.55,3.61,108,Moderate
Hyderabad,02/05/2016,37.28,84.02,4.85,26.57,21.07,23.99,0.43,6.13,52.45,0.25,1.39,104,Moderate
Hyderabad,03/05/2016,40.37,87.52,5.33,35.95,27.93,30.58,0.71,3.05,34.06,0.46,3.22,116,Moderate
Hyderabad,04/05/2016,30.1,56.02,6.46,20.72,18.45,44.38,0.38,5.1,49.45,0.25,1.88,92,Satisfactory
Hyderabad,05/05/2016,29.22,60.54,10.85,29.21,27.98,28.44,0.39,10.13,41.7,0.38,2.1,67,Satisfactory
Hyderabad,06/05/2016,60.88,66.45,9.09,44.45,33.89,48.05,0.7,1.15,26.27,0.38,1.19,72,Satisfactory
Hyderabad,07/05/2016,89.48,94.11,18.33,59.85,47.12,59.64,1.08,2.75,34.35,0.5,0.55,90,Satisfactory
Hyderabad,08/05/2016,40.12,50.94,24.62,35.16,51.79,78.57,1.65,6.65,43.27,0.19,0.98,156,Moderate
Hyderabad,09/05/2016,50.76,82.05,7.79,33.2,33.14,35.16,1.27,5.84,41.24,0.32,1.79,167,Moderate
