City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,AQI,AQI_Bucket
Bengaluru,13/01/2016,70.78,160,11.43,55.91,37.72,12.06,1.02,10.59,24.48,1.56,0.94,146,Moderate
Bengaluru,14/01/2016,75.01,172.02,16.92,70.58,49.75,19.63,0.84,13.99,22.94,1.56,0.5,152,Moderate
Bengaluru,16/01/2016,77.23,235.32,35.73,83.2,94.37,16.11,1.02,15.22,22.72,1.36,0.69,130,Moderate
Bengaluru,17/01/2016,68.98,149.82,86.51,110.24,147.06,10.83,0.78,14.5,17.73,0.97,0.37,253,Poor
Bengaluru,18/01/2016,73.89,133.08,95.19,77.38,110.35,16.09,0.97,18.94,20.92,1.05,0.51,219,Poor
Bengaluru,19/01/2016,75.45,113.92,44.25,72.62,71.08,20.9,0.98,24,23.09,0.67,0.54,146,Moderate
Bengaluru,20/01/2016,78.07,122.54,43.53,45.06,55.6,28.94,0.97,24.02,17.64,0.95,0.68,170,Moderate
Bengaluru,21/01/2016,53.45,62.27,44.68,34.63,50.76,43.57,0.93,18.54,20.57,0.62,0.52,117,Moderate
Bengaluru,22/01/2016,63.58,150.78,48.29,41.69,57.18,26.58,1.15,13.94,22,0.84,0.42,113,Moderate
Bengaluru,23/01/2016,57.91,133.63,33.73,29.72,40.25,16.27,1.08,11.77,11.02,0.81,0.34,146,Moderate
Bengaluru,24/01/2016,41.36,92.58,24.11,35.97,35.05,14.08,0.99,5.66,15.4,0.76,0.31,102,Moderate
Bengaluru,25/01/2016,51.7,121.42,15.35,51.13,35.03,19.55,1.23,7.78,18.12,0.64,0.84,98,Satisfactory
Bengaluru,26/01/2016,54.34,108.47,7.72,45.69,28.2,17.79,1.04,8.68,26.95,0.63,0.59,104,Moderate
Bengaluru,27/01/2016,54.33,76.37,14.67,41.42,32.76,20.6,1.05,8.73,17.6,0.89,0.7,91,Satisfactory
Bengaluru,28/01/2016,84.84,50.03,20.32,36.42,34.42,53.81,1.16,2.96,17.21,1.38,0.81,118,Moderate
Bengaluru,29/01/2016,87.02,83.23,7.3,36.39,23.82,22.43,1.12,3.02,26.32,1.45,0.76,175,Moderate
Bengaluru,30/01/2016,71.42,130.22,8.62,37.09,25.13,20.22,1.21,4.28,23.31,1.02,0.64,149,Moderate
Bengaluru,31/01/2016,119.16,218.27,15.82,48.59,36.49,33.27,1.32,6.07,23.3,2.02,0.94,183,Moderate
Bengaluru,01/02/2016,84.45,158.01,15.81,55.88,40.35,30.23,1.85,6.34,17.17,1.16,1.26,184,Moderate
Bengaluru,02/02/2016,76.8,159.14,17.4,55.92,41.2,27.39,1.39,5.9,15.86,1.84,0.73,156,Moderate
Bengaluru,03/02/2016,75.57,193.59,13.74,62.78,41.28,23.28,1.9,5.54,25.77,1.72,0.68,153,Moderate
Bengaluru,04/02/2016,74.6,152.36,10.79,49.76,32.57,22.79,1.6,5.13,28.21,1.67,0.75,141,Moderate
Bengaluru,05/02/2016,72.11,121.86,9.3,49.34,31.63,21.72,1.37,4.07,31.13,1.4,0.56,139,Moderate
Bengaluru,06/02/2016,63.42,169.11,5.2,45.84,25.16,19.25,1.81,3.74,32.4,0.8,0.56,154,Moderate
Bengaluru,07/02/2016,82.78,351.51,4.31,84.52,35.82,19.97,3.28,2.76,37.66,0.89,0.66,199,Moderate
Bengaluru,08/02/2016,75.98,154.26,3.23,46.99,21.56,18.87,1.59,3.49,31.18,0.6,0.59,182,Moderate
Bengaluru,09/02/2016,85.33,223.57,6.7,59.41,30.85,20.89,2.19,9.71,35.63,0.88,0.7,175,Moderate
Bengaluru,10/02/2016,84.32,256.75,5.88,46.66,26.54,20.63,2.2,14.25,49.77,1.36,0.54,191,Moderate
Bengaluru,11/02/2016,91.95,190.47,5.85,45.44,25.01,17.12,2.06,23.66,58.94,2.4,0.9,203,Poor
Bengaluru,12/02/2016,83.66,164.48,6.15,49.77,26.13,19.85,1.7,5.25,67.3,1.67,0.76,154,Moderate
Bengaluru,13/02/2016,85.96,146.45,8.34,56.54,33.17,17.34,1.69,4.73,63.27,1.21,0.56,160,Moderate
Bengaluru,14/02/2016,62.08,113.87,20.4,43.41,39.5,15.09,1.46,3.14,57.1,1.47,0.34,136,Moderate
Bengaluru,15/02/2016,56.57,100.3,10.84,35.08,33.68,40.86,1.73,4.27,37.83,1.19,0.41,107,Moderate
Bengaluru,16/02/2016,42.58,108.68,9.51,23.5,19.24,27.19,1.51,3.45,31.32,0.68,0.37,88,Satisfactory
Bengaluru,17/02/2016,49.6,145.32,9.96,24.34,19.72,24.05,1.66,4.46,25.02,0.94,0.34,105,Moderate
Bengaluru,19/02/2016,44.26,146.23,10.47,26.16,20.93,25.75,1.51,3.9,42.53,1.22,0.35,117,Moderate
Bengaluru,20/02/2016,53.12,116.89,9.46,30.94,22.89,29.92,1.47,3.2,36.37,0.98,0.46,113,Moderate
Bengaluru,21/02/2016,57.32,107.54,10.18,34.98,25.44,29.87,1.45,2.88,49.63,1.16,0.5,115,Moderate
Bengaluru,22/02/2016,90.07,127.67,7.72,32.23,22.31,29.34,1.57,3.26,38.32,1.01,0.45,145,Moderate
Bengaluru,23/02/2016,134.69,142.12,4.88,32.14,20.48,30.6,1.12,2.99,42.23,1.08,0.47,177,Moderate
Bengaluru,24/02/2016,110.05,100.07,11.92,38.67,25.42,28.79,0.94,4.85,59.43,0.89,0.58,198,Moderate
Bengaluru,25/02/2016,66.98,100.6,9.08,37.3,25.34,27.07,0.73,6.91,64.9,0.89,0.54,165,Moderate
Bengaluru,26/02/2016,51.96,102.39,10.53,28.51,22.43,24.1,0.94,5.29,37.26,0.51,0.48,124,Moderate
Bengaluru,27/02/2016,36.28,98.29,12.77,41.88,27.18,5.47,0.81,3.09,30.33,0.45,0.2,88,Satisfactory
Bengaluru,28/02/2016,35.63,115.9,12.59,47.36,24.09,4.09,0.79,3.52,29.08,0.67,0.27,88,Satisfactory
Bengaluru,29/02/2016,41.64,144.04,11.73,30.64,23.56,3.83,1.01,3.16,39.28,0.74,0.3,105,Moderate
Bengaluru,01/03/2016,39.21,154.64,42.33,42.55,51.48,13.53,0.84,3.5,37.68,0.81,0.28,118,Moderate
Bengaluru,02/03/2016,42.17,134.78,19.36,33.44,29.43,22.47,0.56,2.24,31.99,0.87,0.32,132,Moderate
Bengaluru,03/03/2016,54.91,148.57,6.3,31.09,18.25,22.73,0.58,1.91,49.42,0.87,0.47,121,Moderate
Bengaluru,04/03/2016,54.04,137.04,9.52,38.09,25.03,21.95,0.62,2.45,42.21,1.02,0.49,136,Moderate
Bengaluru,05/03/2016,55.72,132.73,5.47,31.96,18.66,23.49,1.68,2.36,38.54,0.94,0.37,153,Moderate
Bengaluru,06/03/2016,45.98,120.86,3.63,22.73,12.1,23.84,0.77,2.12,49.65,0.62,0.32,135,Moderate
Bengaluru,07/03/2016,43.69,120.32,4.16,24.23,13.82,23.77,0.58,2.05,45.07,0.63,0.35,111,Moderate
Bengaluru,08/03/2016,44.74,122.4,10.23,41.83,24.9,23.93,1.41,2.82,49.67,0.92,0.43,135,Moderate
Bengaluru,09/03/2016,51.06,150.19,10.44,47.14,30.04,33.25,0.97,4.02,38.62,0.94,0.46,123,Moderate
Bengaluru,10/03/2016,53.1,161.1,13.13,43.2,34.09,31.23,1.51,3.14,35.52,0.96,0.55,146,Moderate
Bengaluru,11/03/2016,60.7,173.24,13.82,36.11,33.16,33.7,1.03,3.61,40,4.06,1.47,155,Moderate
Bengaluru,12/03/2016,59.53,163.88,7.19,26.64,19.89,26.04,0.86,3,58.17,2.83,1.59,144,Moderate
Bengaluru,13/03/2016,64.29,144.67,5.68,21.86,14.6,21.27,0.57,2.75,68.09,1.8,1.2,149,Moderate
Bengaluru,14/03/2016,67.65,148.74,6.95,33.09,20.19,23.37,0.79,2.95,77.42,1.67,1.76,158,Moderate
Bengaluru,15/03/2016,68.48,144.33,15.88,36.46,25.68,24.7,1.28,2.93,47.78,1.68,1.25,175,Moderate
Bengaluru,16/03/2016,76.33,144.2,11.08,39.12,26.5,36.52,1.19,2.85,98.66,3,2.51,139,Moderate
Bengaluru,17/03/2016,72.22,151.36,11.89,25.76,18.7,29.15,0.89,3.24,39.82,1.41,1.65,145,Moderate
Bengaluru,18/03/2016,60.58,194,7.91,18.32,15.69,26.55,0.96,2.89,35.81,1.49,1.3,151,Moderate
Bengaluru,19/03/2016,98.29,206.35,10.49,32.29,24.48,29.65,1.22,2.53,33.32,2.42,1.62,158,Moderate
Bengaluru,21/03/2016,121.43,164.52,8.95,59.53,35.01,32.86,0.91,2.47,56.77,1.91,3.13,264,Poor
Bengaluru,22/03/2016,66.36,190.04,9.51,62.46,37.08,32.7,0.98,3.93,43.14,1.74,2.25,155,Moderate
Bengaluru,23/03/2016,29.73,186.28,10.09,46.26,35.81,29.53,0.52,2.38,49.68,1.11,1.05,137,Moderate
Bengaluru,24/03/2016,34.49,180.42,7.52,34.43,22.68,24.5,0.92,3.92,46.87,1.19,1.06,119,Moderate
Bengaluru,25/03/2016,32.59,183.03,4.59,28.33,14.13,22.9,0.9,3.22,55.02,1.85,1.27,137,Moderate
Bengaluru,26/03/2016,56.05,165.97,6.3,29.32,19.1,32.86,2.11,5.56,57.03,2.72,3.04,149,Moderate
Bengaluru,27/03/2016,63.5,175.45,4.97,30.19,18.63,42.56,0.82,5.39,89.88,2.36,2.12,156,Moderate
Bengaluru,28/03/2016,57.92,157.8,6.37,35.15,22.21,50,0.86,6.06,48.81,1.95,1.18,123,Moderate
Bengaluru,29/03/2016,48.28,162.1,5.17,23.54,15.33,24.05,0.87,3.42,40.43,1.49,1.17,118,Moderate
Bengaluru,30/03/2016,42.65,142.17,5.45,25.51,16.91,22.67,0.86,4.7,35.06,1.53,1.93,107,Moderate
Bengaluru,31/03/2016,50.78,156.52,5.35,32.46,21.42,23.75,0.82,3.72,44.42,1.85,1.42,111,Moderate
Bengaluru,01/04/2016,49.33,150.05,7.72,35.55,24.09,23.19,0.87,4.51,38.74,2.17,1.61,106,Moderate
Bengaluru,02/04/2016,51.78,159.41,10.62,36.29,25.48,29.64,0.62,2.51,34.73,3.16,2.03,112,Moderate
Bengaluru,03/04/2016,53.54,157.92,8.11,26.49,18.69,19.18,1,2.97,34.38,3.58,1.85,110,Moderate
Bengaluru,04/04/2016,54.8,165.25,12.49,39.97,28.58,45.69,0.85,4.65,26.66,4.25,2.3,114,Moderate
Bengaluru,05/04/2016,49.84,215.52,19.66,50.15,45.68,22.62,1.11,4.27,29.98,3.43,2.08,118,Moderate
Bengaluru,06/04/2016,63.16,254.77,7.65,52.29,24.61,28.88,1.18,3.67,43.57,2.12,1.84,154,Moderate
Bengaluru,07/04/2016,46.24,208.97,3.14,17.79,10.68,23.17,1.19,3.17,67.46,3.08,1.81,179,Moderate
Bengaluru,08/04/2016,34.18,318.02,3.97,17.37,11.52,19.5,1.03,2.2,58.76,1.56,0.9,102,Moderate
Bengaluru,09/04/2016,33.01,152.78,27.61,38.54,32.63,18.87,1.13,3.61,53.57,1.42,0.94,170,Moderate
Bengaluru,10/04/2016,31.3,144.68,4.2,19.45,13.01,16.4,1.03,2.75,62.4,1.34,0.99,112,Moderate
Bengaluru,11/04/2016,31.68,159.23,4.37,19.05,12.52,20.63,1.86,2.87,58.82,1.78,1.32,138,Moderate
Bengaluru,12/04/2016,36.98,177.82,3.86,14.71,9.61,17.27,1.25,3.1,74.34,2.44,1.9,121,Moderate
Bengaluru,13/04/2016,36.88,159.45,16.58,30.43,26.02,30.91,0.81,5.44,60.73,1.39,1.14,118,Moderate
Bengaluru,14/04/2016,35.46,224.24,9.73,31.64,23.58,25.67,1.08,3.19,109.97,0.98,1.14,171,Moderate
Bengaluru,15/04/2016,35.31,196.65,6.29,18.99,14.15,26.03,1.07,3.9,76.46,1.74,1.19,156,Moderate
Bengaluru,16/04/2016,34.85,171.26,4.84,10.08,8.09,26.81,1.02,3.06,67.25,1.09,1.14,140,Moderate
Bengaluru,17/04/2016,36.9,145.98,3.37,9.89,7.11,24.31,0.78,2.36,77.75,2.29,1.41,114,Moderate
Bengaluru,18/04/2016,38.81,158.75,5.65,16.09,11.74,25.84,1.37,2.74,49.33,3.09,2.52,138,Moderate
Bengaluru,19/04/2016,34.65,134.47,4.35,12.86,9.5,25.01,1.87,2.71,50.77,2.86,2.91,137,Moderate
Bengaluru,20/04/2016,31.89,160.06,4.69,19.53,10.82,25.6,1.65,3.82,62.54,6.46,4.3,134,Moderate
Bengaluru,21/04/2016,33.61,168.98,5.82,13.97,11.33,22.65,0.64,6.92,65.97,9.52,6.04,119,Moderate
Bengaluru,22/04/2016,34.83,130.54,6.28,10.21,9.96,26.41,0.94,4.09,48.47,9.6,5.93,98,Satisfactory
Bengaluru,23/04/2016,39.01,107.52,9.13,19.84,18.09,27.43,0.98,3.9,49.78,14.91,7.88,107,Moderate
Bengaluru,24/04/2016,39.53,92.73,7.26,19.55,15.68,20.86,2.09,4.16,47.44,16.39,8.95,150,Moderate
Bengaluru,25/04/2016,37.17,103.22,6.77,16.25,13.99,25.49,0.71,3.39,47.77,5.19,4.95,94,Satisfactory
Bengaluru,26/04/2016,39.88,68.46,7.67,21.35,16.08,24.94,0.72,3.74,56.94,11.29,6.26,85,Satisfactory
Bengaluru,27/04/2016,32.59,56.09,5.91,22.96,15.81,19.65,1.53,5.23,43.48,3.72,3.43,115,Moderate
Bengaluru,28/04/2016,47.42,54.05,20.84,22.55,33.44,18.06,0.6,5.65,39.29,7.21,11.94,74,Satisfactory
Bengaluru,29/04/2016,48.78,58.28,5.64,23.05,16.42,17.12,0.67,4.34,47.83,8.11,5.52,88,Satisfactory
Bengaluru,30/04/2016,46.6,59.08,9.97,20.19,21.66,17.48,0.82,4.12,53.75,5.29,3.32,86,Satisfactory
Bengaluru,01/05/2016,35.86,63.4,4.47,23.12,15.99,16.11,0.49,4.17,74.38,5.35,4.4,87,Satisfactory
Bengaluru,02/05/2016,39.87,63.61,8.72,28.17,18.17,19.71,0.62,5.62,68.49,5.57,4.86,99,Satisfactory
Bengaluru,03/05/2016,40.79,63.42,6.61,43.48,25.98,20.1,0.6,4.37,46.14,4.44,7.41,80,Satisfactory
Bengaluru,04/05/2016,57.96,56.57,4.08,32.02,18.21,16.71,0.55,4.58,45.77,3.68,5.24,102,Moderate
Bengaluru,05/05/2016,46,58.14,13.5,34.28,24.08,17.66,0.66,7.17,40.96,6.79,6.71,76,Satisfactory
Bengaluru,06/05/2016,23.99,35.12,2.85,19.03,11.43,16.79,1.15,4.1,95.21,1.74,2.88,59,Satisfactory
Bengaluru,07/05/2016,27.21,44.02,26.89,34.02,34.92,17.82,0.69,3.15,53.32,2.45,5.18,67,Satisfactory
Bengaluru,08/05/2016,26.43,42.02,69.97,75.84,64.74,16.68,0.6,2.89,52.09,1.77,4.01,107,Moderate
Bengaluru,09/05/2016,20.46,34.82,6.44,26.1,15.86,16.5,0.6,3.66,58.13,3.77,5.69,95,Satisfactory
Bengaluru,10/05/2016,32.5,230.2,5.74,20.91,14.43,16.75,0.99,4.01,50.62,2.74,6.69,72,Satisfactory
Bengaluru,11/05/2016,57.81,50.58,4.39,12.56,8.77,16.13,0.88,3.11,45.59,2.98,6.78,91,Satisfactory
Bengaluru,12/05/2016,31.19,54.8,7.37,14.44,13.47,19.08,0.67,3.77,54.95,2.79,7.96,88,Satisfactory
Bengaluru,13/05/2016,34.06,45.82,5.54,10.89,8.46,23.06,0.72,4.08,70.86,3.24,5.73,86,Satisfactory
Bengaluru,16/05/2016,27.01,39.39,6.67,18.35,15.54,19.96,0.91,4.16,22.93,3.3,3.76,50,Good
Bengaluru,17/05/2016,36.67,42.55,5.28,21.65,15.22,11.28,0.61,3.71,20.18,2.48,4.97,74,Satisfactory
Bengaluru,18/05/2016,27.51,41.15,11.01,23.46,20.58,36.19,0.47,5.04,20.14,2.43,7.06,47,Good
Bengaluru,19/05/2016,28.47,29.97,2.66,5.53,4.62,7.22,0.56,4.42,32.59,1.54,2.92,46,Good
Bengaluru,20/05/2016,22.27,33.48,2.09,10.54,6.35,7.84,0.52,3.81,30.79,1.32,3.34,48,Good
Bengaluru,21/05/2016,42.52,41.96,1.96,8.91,5.78,8.66,0.42,4.46,29.76,1.35,3.81,35,Good
Bengaluru,22/05/2016,152.94,43.16,1.41,9.86,5.87,9.56,1.08,3.36,27.96,1.99,12.03,83,Satisfactory
Bengaluru,23/05/2016,28.65,52.72,1.84,11.01,6.74,9.71,0.78,3.91,32.6,2.03,5.53,173,Moderate
Bengaluru,24/05/2016,25.75,40.98,1.55,6.83,4.57,10.37,0.42,4.91,31.86,1.28,3.75,50,Good
Bengaluru,17/06/2016,33.9,48.51,5.99,18.94,14.16,38.77,0.97,3.39,14.93,1.75,9.06,28,Good
Bengaluru,18/06/2016,31.98,80.7,7.93,20.46,17.06,34.41,3.8,4.05,9.69,1.59,4.16,156,Moderate
Bengaluru,19/06/2016,26.77,105.43,6.42,15.29,10.44,31.78,4.02,4.64,11.99,1.01,2.51,195,Moderate
Bengaluru,20/06/2016,27.61,72.63,9.28,21.69,16.62,37.12,2.12,4.5,10.92,1.16,1.58,137,Moderate
Bengaluru,22/06/2016,29.83,23.86,5.48,17.61,12.97,32.55,0.33,1.79,31.87,1.57,2.94,77,Satisfactory
Bengaluru,23/06/2016,19,15.46,3.39,16.91,9.84,32.35,1.61,1.9,53.33,1.11,2.73,143,Moderate
Bengaluru,24/06/2016,15.04,23.51,3.91,17.15,9.58,30.59,5.43,1.73,65.62,0.95,1.96,181,Moderate
Bengaluru,27/06/2016,16.54,48.92,9.12,26.15,19.61,43.21,3.02,2.1,45.27,1.27,2.65,33,Good
Bengaluru,28/06/2016,27.23,34.13,8.54,23.71,21.32,45.56,3.63,1.87,38.45,1.08,2.2,151,Moderate
Bengaluru,29/06/2016,115.98,17.1,8.59,24.19,19.33,44.18,2.48,1.58,39.09,0.97,2.58,174,Moderate
Bengaluru,30/06/2016,13.95,48.92,7.33,20.42,16.49,37.66,3.55,1.86,39.53,0.95,1.91,154,Moderate
Bengaluru,01/07/2016,25,35.36,5.42,19.59,17.99,41.94,5.62,1.26,44.86,0.87,1.8,208,Poor
Bengaluru,02/07/2016,31.8,9.93,3.27,15.96,10.19,35.09,6.28,1.1,51.84,0.79,2.05,192,Moderate
Bengaluru,03/07/2016,17.36,30.52,10.96,20.82,16.04,29.15,7.87,1.54,42.29,0.77,2.03,238,Poor
Bengaluru,04/07/2016,19.4,112.27,12.8,23.11,19,32.37,4.04,1.86,33.37,1.07,2.26,160,Moderate
Bengaluru,05/07/2016,18.36,57.25,10.01,19.9,17.76,31.94,2.27,2.18,35.67,0.53,0.53,83,Satisfactory
Bengaluru,14/08/2016,21.57,97.04,5.63,14.87,7.1,40.59,3.59,1.75,19.82,4.29,2.84,38,Good
Bengaluru,29/08/2016,27.16,59.6,4.61,20.93,4.15,40.64,0.77,4.62,28.48,1.94,26.35,47,Good
Bengaluru,31/08/2016,35.17,51.69,3.61,19.08,2.06,40.41,0.42,3.7,20.34,10.7,68.02,49,Good
Bengaluru,10/09/2016,43.95,68.24,4.78,19.99,1.38,104.81,0.57,3.55,28.99,0.95,2.47,84,Satisfactory
Bengaluru,11/09/2016,24.72,57.37,4.12,21.18,0,43.84,0.36,3.77,22.02,0.47,0.26,64,Satisfactory
Bengaluru,13/09/2016,23.04,48.92,5.23,12.98,1.43,43.25,0.41,9.3,44.94,0.77,0.17,60,Satisfactory
Bengaluru,14/09/2016,13.59,45.66,3.62,21.47,2.35,43.42,0.52,2.96,36.66,0.59,0.26,60,Satisfactory
Bengaluru,15/09/2016,11.1,41.09,8.1,29.29,18.5,39.83,0.97,3.76,39.12,0.56,6.38,74,Satisfactory
Bengaluru,16/09/2016,32.23,57.94,10.28,32.53,65.31,13.14,0.89,7.68,22.05,0.34,2.14,66,Satisfactory
Bengaluru,17/09/2016,41.01,79.93,8.32,25.42,5.5,5.14,0.8,4.59,36.26,0.67,0.27,70,Satisfactory
Bengaluru,19/09/2016,26.31,49.89,4.44,30,12.86,24.8,0.25,3.38,19.1,0.82,0.36,58,Satisfactory
Bengaluru,20/09/2016,32.98,44.55,4.23,26.31,12.71,30.77,0.2,4.3,16.09,0.81,0.35,47,Good
Bengaluru,21/09/2016,43.4,33.79,4.89,26.08,8.49,55.78,0.38,5.07,17.18,1,0.39,40,Good
Bengaluru,22/09/2016,32.46,52.66,4.99,23.58,11.01,35.92,0.52,4.53,22.04,1.96,4.97,58,Satisfactory
Bengaluru,23/09/2016,26.6,103.69,6.32,21.48,8.74,120.07,0.46,5.37,16.37,5.2,1.46,76,Satisfactory
Bengaluru,24/09/2016,39.41,102.24,7.88,29,10.48,84.68,0.52,3.87,10.98,0.5,2.27,102,Moderate
